,Titles,Abstracts,Production,Production_abstract_score,Production_title_score,Mean_product,Material,Material_abstract_score,Material_title_score,Mean_material
31,Ductility of a Ti-6Al-4V alloy produced by selective laser melting of prealloyed powders,"Purpose – The aim of the paper is the study of the change in the mechanical properties (and in particular in ductility), with the microstructure, of a
biomedical Ti-6Al-4V alloy produced by different variants of selective laser melting (SLM).
Design/methodology/approach – Ti-6Al-4V alloy produced by different variants of SLM has been mechanically characterized through tensile testing.
Its microstructure has been investigated by optical observation after etching and by X-ray diffraction analysis.
Findings – SLM applied to Ti-6Al-4V alloy produces a material with a martensitic microstructure. Some microcracks, due the effect of incomplete
homologous wetting and residual stresses produced by the large solidification undercooling of the melt pool, are observable in the matrix. Owing to the
microstructure, the tensile strength of the additive manufactured parts is higher than the strength of hot worked parts, whereas the ductility is lower.
A pre-heating of the powder bed is effective in assisting remelting and reducing residual stresses, but ductility does not increase significantly, since the
microstructure remains martensitic. A post-building heat treatment causes the transformation of the metastable martensite in a biphasic a-b matrix,
with a morphology that depends on the heat treatment. This results in an increase in ductility and a reduction in strength values.
Originality/value – The study evidenced how it is possible to obtain a fully dense material and make the martensite transform in Ti-6Al-4V alloy
through the variation of the SLM process. The stabilization of the microstructure also results in an improvement of the ductility.",FDM or FFF or EAM,0.52,0.68,0.6000000000000001,Polymer,0.53,0.53,0.53
32,Duplex stainless steel fabricated by selective laser melting - Microstructural and mechanical properties,"In the scope of the present study, microstructural and mechanical characterizations of
duplex stainless steel UNS S31803 processed by selective laser melting (SLM) are
conducted. The findings shed light on the phase arrangement evolving in the as-built
condition and in several heat-treated conditions. In the as-built condition, austenite
formation is almost suppressed due to process-related high cooling rates. Therefore, several
heat treatments ranging from 900 °C to 1200 °C for 5 min each were performed in order to
adjust to the desired austenitic-ferritic microstructure. Results generated by transmission
electron microscopy (TEM) reveal a high dislocation density induced during SLM
fabrication, such that a recrystallized microstructure prevails after the heat treatment. Tensile
tests display the severe impact of the heat treatment on the resulting mechanical response.
The nearly complete ferritic as-built specimens obtain a higher ultimate tensile strength and
a reduced elongation at fracture compared to the heat-treated specimens.",SLM or DMLS,0.62,0.59,0.605,Metal,0.42,0.61,0.515
33,Effect of annealing procedure on the bonding of ceramic to cobalt-chromium alloys fabricated by rapid prototypin,"An annealing procedure is a heat treatment process to improve the mechanical properties of cobalt-chromium (Co-Cr) alloys. However, information is lacking about the effect of the annealing process on the bonding ability of ceramic to Co-Cr alloys fabricated by rapid prototyping. The purpose of this in vitro study was to evaluate the effects of the fabrication techniques and the annealing procedure on the shear bond strength of ceramic to Co-Cr alloys fabricated by different techniques. Ninety-six cylindrical specimens (10-mm diameter, 10-mm height) made of Co-Cr alloywere prepared by casting(C), milling (M),direct process powder-bed (LaserCUSING) with and without annealing (CL+, CL), and direct metal laser sintering (DMLS) with annealing (EL+) and without annealing (EL). After the application of ceramic to the metal specimens, the metal-ceramic bond strength was assessed using a shear force test at a crosshead speed of 0.5 mm/min. Shear bond strength values were statistically analyzed by 1-way ANOVA and Tukey multiple comparison tests (a=.05). Although statistically signiﬁcant differences were found among the 3 groups (M, 29.87 ±2.06; EL, 38.92 ±2.04; and CL+, 40.93 ±2.21; P=.002), no signiﬁcant differences were found among the others (P>.05). The debonding surfaces of all specimens exhibited mixed failure mode.These results showed that the direct process powder-bed method is promising in terms of metal-ceramic bonding ability. The manufacturing technique of Co-Cr alloys and the annealing process inﬂuence metal-ceramic bonding. ",SLM or DMLS,0.49,0.58,0.5349999999999999,Polymer,0.42,0.39,0.405
34,EFFECT OF DEFECTS ON FATIGUE TESTS OF AS-BUILT TI-6AL-4V PARTS FABRICATED BY SELECTIVE LASER MELTING,"Defects can be found in parts made using Selective Laser Melting (SLM) due to balling effects and other types of localized irregularities. This study investigates how defects affect the fatigue performance of Ti-6Al-4V samples in an SLM as-built surface finish condition. Fatigue samples were built and heat treated for stress relief. In order to investigate the effect of defects, a series of fatigue samples were designed with built-in cylindrical and double-conical defects. Tests were carried out to correlate maximum stress to the number of cycles to failure. Optical and scanning electron micrographs were utilized to compare and analyze crack initiation and propagation characteristics. Based on the results, the influence of defects on fatigue properties is discussed",SLM or DMLS,0.48,0.43,0.45499999999999996,Metal,0.37,0.33,0.35
35,Effects of Build Orientations on Tensile Properties of PLA Material Processed by FDM,"Fused Deposition Modelling (FDM) of thermoplastic materials is generally a well-known technology among all additive manufacturing (AM) technologies and therefore, it is essential to investigate the mechanical properties of such FDM processed materials.  Several open-source and low cost AM machines, known as 3D Printers, have recently been developed using thermoplastic extrusion process based on the original FDM technology.  Many of these 3D Printers use Polylactic Acid (PLA) plastic for building parts. The main objective of this paper is to investigate the tensile properties of the PLA thermoplastic material processed by the Cube-2 3D Printer.  In this study, the dog-bone sized PLA specimens are printed in different build orientations and a Zwick Z010 tensile testing machine is used to determine the tensile properties of PLA in different build orientation",SLM or DMLS,0.51,0.41,0.45999999999999996,Ceramic,0.53,0.37,0.45
36,Evaluation of Orientation Dependence of Fracture Toughness and Fatigue Crack Propagation Behavior of As-Deposited ARCAM EBM Ti-6Al-4V,"This preliminary work documents the effects of test orientation with respect to build and beam raster directions on the fracture toughness and fatigue crack growth behavior of as-deposited EBM Ti-6Al-4V. Although ASTM/ISO standards exist for determining the orientation dependence of various mechanical properties in both cast and wrought materials, these standards are evolving for materials produced via additive manufacturing (AM) techniques. The current work was conducted as part of a larger America Makes funded project to begin to examine the effects of process variables on the microstructure and fracture and fatigue behavior of AM Ti-6Al-4V. In the fatigue crack growth tests, the fatigue threshold, Paris law slope, and overload toughness were determined at different load ratios, R, whereas fatigue precracked samples were tested to determine the fracture toughness. The as-deposited material exhibited a ﬁne-scale basket-weave microstructure throughout the build, and although fracture surface examination revealed the presence of unmelted powders, disbonded regions, and isolated porosity, the resulting mechanical properties were in the range of those reported for cast and wrought Ti-6Al-4V. Remote access and control of testing was also developed at Case Western Reserve University to improve efﬁciency of fatigue crack growth testing.",SLM or DMLS,0.49,0.51,0.5,Metal,0.39,0.33,0.36
37,Evaluations of cellular lattice structures manufactured using selective laser melting,"Metallic additive manufacturing techniques, in particular the selective laser melting (SLM) process, are capable of fabricating strong, lightweight and complex metallic lattice structures. However, they still face certain process limitations such as geometrical constraints and in some cases the need for support structures. This study evaluates the manufacturability and performance of SLM produced periodic cellular lattice structures, which are designed by repeating a unit cell type called gyroid consisting of circular struts and a spherical core. The effect of unit cell size on the manufacturability, density and compression properties of the manufactured cellular lattice structures were investigated. Microcomputer tomography (CT) scan results reveal that the gyroid cellular lattice structures with various unit cell sizes ranging from 2 to 8 mm can be manufactured free of defects by the SLM process without the need of additional support structures. The Scanning Electron Microscope (SEM) micrographs show that the lattice structures made by SLM have a good geometric agreement with the original computeraided design (CAD) models, but many partially melted metal particles are bonded to strut surfaces. The struts within the gyroid cellular lattice structures with smaller unit cell sizes have higher densities due to their shorter scan vector lengths in the SLM process. The yield strength and Young’s modulus of the Gyroid cellular lattice structures increase with the decrease in the unit cell size due to the denser struts of the lattice structures with smaller unit cell sizes. ",FDM or FFF or EAM,0.55,0.6,0.575,Polymer,0.48,0.51,0.495
38,Experimental measurement of residual stress and distortion in additively manufactured stainless steel components with various dimensions,"Disk-shaped 316L stainless steel parts with various diameters and heights were additively
manufactured using a direct metal laser sintering (DMLS) technique. Neutron diffraction was
used to profile the residual stresses in the samples before and after removal of the build plate and
support structures. Moreover, distortion level of the parts before and after the removal was
quantified using a coordinate measuring machine (CMM). Large tensile in-plane stresses (up to ≈
400 MPa) were measured near the as-built disk top surfaces, where the stress magnitude
decreased from the disk center to the edges. The stress gradient was steeper for the disks with
smaller diameters and heights. Following the removal of the build plate and support structures,
the magnitude of the in-plane residual stresses decreased dramatically (up to 330 MPa) whereas
the axial stress magnitude did not change significantly. The stress relaxation caused the disks to
distort, where the distortion metric was higher for the disks with smaller diameters and heights.
The distribution of the residual stresses revealed a marked breakdown of self-similarity in their
distribution even comparing disk-shaped samples that were fabricated under identical printing
parameters; the stress field profiles were not linearly scaled as a function of height and diameter.",SLM or DMLS,0.52,0.56,0.54,Metal,0.43,0.43,0.43
39,Fabrication of complex-shaped zirconia ceramic parts via a DLP stereolithography-based 3D printing method,"In this work, a stereolithography-based method of 3D printing was successfully used to fabricate a complex shaped triangular zirconia cutting tool with a tool with drawal groove and a honey comb ceramic component.The sintered bodies displayed signiﬁcant shrinkage after sintering, with the maximum shrinkage being 35.26%. The XRD pattern indicated that the crystalline phase of the parts was the t-ZrO2 phase, while SEM characterization revealed that the sintered bodies were composed of densely packed submicron-grade grains, without any discernible pores. The density of the parts was measured as 97.14% via Archimedes’ water displacement method, which is consistent with the results of SEM characterization. Additionally, the measured Vickers hardness and fracture toughness of the fabricated parts were 13.0597 GPa and 6.0380 MPa m1/2, respectively. These values are close to the structural properties of common zirconia ceramics prepared by conventional approaches. Hence, a novel DLP-stereolithography-based 3D printing process for the fabrication of complex and dense zirconia ceramic parts has been proposed in this work.
",FDM or FFF or EAM,0.44,0.59,0.515,Polymer,0.46,0.51,0.485
40,Finite element modeling of the compressive response of lattice structures manufactured using the selective laser melting technique,"Previous work on lightweight energy-absorbing truss based structures has highlighted the potential of SLM-built lattices. Finite element models have been developed to predict the compressive response of lattice structures based on two simple architectures—a body-centred cubic structure (BCC) and a similar structure with vertical pillars (BCC-Z). Both 3D continuum and beam elements have been used to model the structures under quasi-static compressive loads. Key difﬁculties in modelling the lattice structures have been highlighted and possible solutions have been offered. The results from the FE models are compared to experimental data and have been shown to agree well. The collapse modes predicted by the FE models were also in agreement with the experimental observations. The stress distribution within the BCC unit cells at increasing levels of crush has been identiﬁed and shows the formation of plastic hinges in the struts near to the nodal regions. In the latter stages of this investigation, the unit cell geometry was modiﬁed in order to enhance the stiffness and yield stress under compressive loading conditions. Predictions made using both analytical and beam element FE models demonstrate that the stiffness and yield strength could be improved by varying the unit cell geometry. Further tests were carried out on modiﬁed lattice structures to verify the predictions. ",FDM or FFF or EAM,0.52,0.63,0.575,Polymer,0.49,0.52,0.505
41,"Functionally graded Inconel 718 processed by additive manufacturing Crystallographic texture, anisotropy of microstructure and mechanical properties","Additive manufacturing offers a unique way of anisotropic microstructure control with a high degree of design
freedom. This study demonstrates that application of suitable process parameters and laser sources in selective
laser melting may favour either one sharp single component texture, more uniformly distributed crystal orienta-
tion, or a combination of the above in a preferred gradient, which inﬂuence the mechanical properties. It is shown
that transitions in microstructure, texture, and properties in fabricated Inconel 718 functionally graded compo-
nents can be obtained at relatively small or large length scales, depending upon the functional gradient desired
in a particular application. Results obtained by electron backscatter diffraction showed distinct regions of coarse
elongated grains with a strong (001) orientation uniformly embedded in randomly distributed ﬁne grained ma-
trix. Mechanical tests in the form of hardness, tensile and in-situ digital image correlation tests showed steep
transitions in the developed Inconel gradients. The observed mechanical properties were found to be primarily
dependent on the grain size and texture and are superior to the cast samples for both laser sources. The devel-
oped process strategy can be further applied to design functional gradients with selected tailored properties
and to account for directional anisotropy of solidiﬁed components.",SLM or DMLS,0.55,0.5,0.525,Polymer,0.48,0.5,0.49
42,Fused deposition modelling (FDM) process parameter prediction and optimization using group method for data handling (GMDH) and differential evolution (DE),"This paper presents the research done to determine
the functional relationship between process parameters and
tensile strength for the fused deposition modelling (FDM)
process using the group method for data modelling for prediction
purposes. An initial test was carried out to determine
whether part orientation and raster angle variations affect the
tensile strength. It was found that both process parameters
affect tensile strength response. Further experimentations
were carried out in which the process parameters considered
were part orientation, raster angle, raster width and air gap.
The process parameters and the experimental results were
submitted to the group method of data handling (GMDH),
resulting in predicted output, in which the predicted output
values were found to correlate very closely with the measured
values. Using differential evolution (DE), optimal process
parameters have been found to achieve good strength simultaneously
for the response. The mathematical model of the
response of the tensile strength with respect to the process
parameters comprising part orientation, raster angle, raster
width and air gap has been developed based on GMDH, and
it has been found that the functionality of the additive
manufacturing part produced is improved by optimizing the
process parameters. The results obtained are very promising,
and hence, the approach presented in this paper has practical
application for the design and manufacture of parts using
additive manufacturing technologies.",SLM or DMLS,0.48,0.51,0.495,Polymer,0.43,0.34,0.385
43,Fused Deposition of Ceramics (FDC) and Composites,"Fabrication of functional ceramics and composites has been attempted using fused deposition of ceramics process.  In this work, first a polypropylene (PP) binder system has been developed for the FDM.  The PP binder system was mixed with ceramic powders and then extruded in the form of filament for the FDC.  Controlled porosity ceramic parts were directly fabricated using a FDM 1650 machine with mullite, fused silica and titania powder loaded green filaments.  The parts were then binder removed and sintered.  Some of the porous parts were then infiltrated in Al metal to form the metal-ceramic composites.  This article discusses feedstock development, part fabrication and methods to improve the quality of parts during processing.   ",FDM or FFF or EAM,0.72,0.52,0.62,Ceramic,0.76,0.46,0.61
44,Fused Deposition of Ceramics Progress Towards a Robust and Controlled Process for Commercialization,"The feasibility of using the Fused Deposition ofCeramics (FDC) process to rapidly fabricate functional quality advanced ceramic components has been demonstrated l-5. This direct manufacturing technique, by eliminating the need for costly tooling, dramatically reduces functional prototype development time. This makes it suitable for small quantity production runs and complex parts. The move from 'feasibility"" to a robust, reliable commercial fabrication tool requires that every aspect ofthe manufacturing be understood and brought under control. An overview ofthe five basic process steps in FDC: batch compounding, filament fabrication, fused deposition, binder burnout and sintering will be presented in light of this drive toward a robust process. Tools such as Statistical Process Control and Experimental Design techniques are being used to monitor, improve, and stabilize each step and sub-process. Hardware and software modifications have been made to the FD machine to effect the required changes. This paper will identify the remaining technical barriers to commercialization and our progress in addressing these issues",FDM or FFF or EAM,0.35,0.53,0.44,Polymer,0.28,0.4,0.34
45,Fused Filament Fabrication of Small Ceramic Components,"With respect to rapid prototyping of ceramic components, there are known only a few processes (stereo lithography, binder jetting). In this work, a new process chain is described in detail, showing that ceramics can be printed in a very cost-efﬁcient way. We developed a ceramic–polymer composite as ﬁlament material that can be printed on a low-cost fused ﬁlament fabrication (FFF) desktop printer, even with very small nozzle sizes enabling very small geometric feature sizes. The thermal post-processing, with debinding and sintering, is very close to the ceramic injection molding (CIM) process chain.
",SLM or DMLS,0.57,0.72,0.645,Ceramic,0.71,0.52,0.615
46,Highly oriented carbon fiber–polymer composites via additive manufacturing,"Additive manufacturing is distinguished from traditional manufacturing techniques such as casting and machining by its ability to handle complex shapes with great design ﬂexibility and without the typical waste. Although this technique has been mainly used for rapid prototyping, interest is growing in direct manufacture of actual parts. For wide spread application of 3D additive manufacturing, both techniques and feedstock materials require improvements to meet the mechanical requirements of load-bearing components. Here, we investigated short ﬁber (0.2–0.4 mm) reinforced acrylonitrile–butadiene–styrene composites as a feedstock for 3D-printing in terms of their processibility, microstructure and mechanical performance. The additive components are also compared with traditional compression molded composites. The tensile strength and modulus of 3D-printed samples increased 115% and 700%, respectively. 3D-printing yielded samples with very high ﬁber orientation in the printing direction (up to 91.5%), whereas, compression molding process yielded samples with signiﬁcantly lower ﬁber orientation. Microstructure–mechanical property relationships revealed that although a relatively high porosity is observed in 3D-printed composites as compared to those produced by the conventional compression molding technique, they both exhibited comparable tensile strength and modulus. This phenomenon is explained based on the changes in ﬁber orientation, dispersion and void formation. ",SLM or DMLS,0.61,0.6,0.605,Ceramic,0.45,0.5,0.475
47,Improved Mechanical Properties of Fused Deposition Modeling-Manufactured Parts Through Build Parameter Modifications,"Today, the use of material extrusion processes, like fused deposition modeling (FDM), in aerospace, biomedical science, and other industries, is gaining popularity because of the access to production-grade thermoplastic polymer materials. This paper focuses on how modifying process parameters such as build orientation, raster angle (RA), contour width (CW), raster width (RW), and raster-to-raster air gap (RRAG) can improve ultimate tensile strength (UTS), Young’s modulus, and tensile strain. This was assessed using three methods: default, Insight revision, and visual feedback. On average, parameter modiﬁcation through the visual feedback method improved UTS in all orientations, 16% in XYZ, 7% in XZY, and 22% in ZXY",SLM or DMLS,0.48,0.83,0.655,Polymer,0.41,0.46,0.435
48,Improved surface finish in 3D printing using bimodal powder distribution,"The use of bimodal powders has been shown to offer the possibility of dramatically improved surface ﬁnish in 3D printing. This work focused on individual lines, the primitive building block of 3D printed parts. It was observed that the ﬁne component of bimodal ceramic powders, while uniformly distributed in the original powderbed, was preferentially found at the surface of the printed line, while the interior of the line was denuded of ﬁnes. Microscopic examination and approximate quantitative analysis supports the assertion that essentially all the ﬁnes have moved to the surface of the line. The mechanism for this rearrangement is not known, but is speculated to be related to the relative difﬁculty of wetting ﬁne powders. The parameter space in which this phenomenon can be observed was examined in a preliminary manner.
",SLM or DMLS,0.45,0.54,0.495,Polymer,0.3,0.36,0.32999999999999996
49,"Influence of processing parameters on the evolution of melt pool, porosity, and microstructures in Ti-6Al-4V alloy parts fabricated by selective laser melting","Selective laser melting involves melting and
solidification of metal powder particles in a track-by-track
and layer-by-layer method to fabricate 3D parts. The present
investigation focuses on understanding the effect of
laser power and scan speed on the evolution of melt pool,
porosity and multiple thermal cycling effects on the
microstructure in parts fabricated using selective laser
melting. In this study, Ti-6Al-4V pre-alloyed powder was
used to produce single-track deposits and bulk parts. Using
different combinations of laser power and scan speeds,
single-track deposits and bulk parts were produced. The
cross-sections of the single-track deposits and bulk samples
were prepared for metallographic observations and the melt
pool shape and size and porosity were evaluated. When a
low energy density was applied the un-melted powder
particles produced irregularly shaped porosity, and a high
energy density resulted in rounded porosity, which was due
to keyhole effects. The samples produced with a proper
combination of power and speeds were fully dense. Further,
microstructural development under the influence of
process condition was highlighted. Overall, the study
demonstrates a good correlation between the single-track
melt pool geometries, porosity in bulk parts and also
demonstrates the microstructural inhomogeneity during
deposition.",FDM or FFF or EAM,0.47,0.47,0.47,Polymer,0.43,0.35,0.39
50,Influence of scan strategy and molten pool configuration on microstructures and tensile properties of selective laser melting additive manufactured aluminum based parts,"Selective laser melting additive manufacturing of the AlSi12 material parts through the re-melting of the
previously solidiﬁed layer using the continuous two layers 90(cid:1) rotate scan strategy was conducted.
The inﬂuence of the re-melting behavior and scan strategy on the formation of the ‘‘track-track” and
‘‘layer-layer” molten pool boundaries (MPBs), dimensional accuracy, microstructure feature, tensile
properties, microscopic sliding behavior and the fracture mechanism as loaded a tensile force has been
studied.
It showed that the defects, such as the part distortion, delamination and cracks, were
signiﬁcantly eliminated with the deformation rate less than 1%. The microstructure of a homogeneous
distribution of the Si phase, no apparent grain orientation on both sides of the MPBs, was produced in
the as-fabricated part, promoting the efﬁcient transition of the load stress. Cracks preferentially initiate
at the ‘‘track-track” MPBs when the tensile stress increases to a certain value, resulting in the formation of
the cleavage steps along the tensile loading direction. The cracks propagate along the ‘‘layer-layer” MPBs,
generating the ﬁne dimples. The mechanical behavior of the SLM-processed AlSi12 parts can be
signiﬁcantly enhanced with the ultimate tensile strength, yield strength and elongation of 476.3 MPa,
315.5 MPa and 6.7%, respectively.",SLM or DMLS,0.55,0.56,0.555,Polymer,0.43,0.6,0.515
51,Interface and performance of 3D printed continuous carbon fiber reinforced PLA composites,"A novel 3D printing based fabrication process of Continuous Fiber Reinforced Thermoplastic Composites (CFRTPCs) was proposed. Continuous carbon ﬁber and PLA ﬁlament were utilized as reinforcing phase and matrix, respectively, and simultaneously fed into the fused deposition modeling (FDM) 3D printing process realizing the integrated preparation and forming of CFRTPCs. Interfaces and performance of printed composites were systematically studied by analyzing the inﬂuencing of process parameters on the temperature and pressure in the process. Forming mechanism of multiple interfaces was proposed and utilized to explain the correlations between process and performance. Fiber content of the printed specimens can be easily controlled by changing the process parameters. When the ﬁber content reached 27%, ﬂexural strength of 335 MPa and modulus of 30 GPa were obtained for the printed composite specimens. Composite components were fabricated to demonstrate the process feasibility. Potential applications could be found in the ﬁeld of aviation and aerospace",SLM or DMLS,0.6,0.6,0.6,Metal,0.48,0.49,0.485
52,Inﬂuence of the particle size distribution on surface quality and mechanical properties in AM steel parts,"Purpose – A recent study confirmed that the particle size distribution of a metallic powder material has a major influence on the density of a part
produced by selective laser melting (SLM). Although it is possible to get high density values with different powder types, the processing parameters
have to be adjusted accordingly, affecting the process productivity. However, the particle size distribution does not only affect the density but also the
surface quality and the mechanical properties of the parts. The purpose of this paper is to investigate the effect of three different powder granulations
on the resulting part density, surface quality and mechanical properties of the materials produced.
Design/methodology/approach – The scan surface quality and mechanical properties of three different particle size distributions and two layer
thicknesses of 30 and 45mm were compared. The scan velocities for the different powder types have been adjusted in order to guarantee a part
density $ 99.5 per cent.
Findings – By using an optimised powder material, a low surface roughness can be obtained. A subsequent blasting process can further improve the
surface roughness for all powder materials used in this study, although this does not change the ranking of the powders with respect to the resulting
surface quality. Furthermore, optimised powder granulations lead generally to improved mechanical properties.
Practical implications – The results of this study indicate that the particle size distribution influences the quality of AM metallic parts, produced by
SLM. Therefore, it is recommended that any standardisation initiative like ASTM F42 should develop guidelines for powder materials for AM processes.
Furthermore, during production, the granulation changes due to spatters. Appropriate quality systems have to be developed.
Originality/value – The paper clearly shows that the particle size distribution plays an important role regarding density, surface quality and resulting
mechanical properties.",FDM or FFF or EAM,0.65,0.67,0.66,Metal,0.43,0.59,0.51
53,Lattice Structures Manufactured by SLM On the Effect of Geometrical Dimensions on Microstructure Evolution During Processing,"Employing selective laser melting direct microstructure
manipulation is feasible through adjustment of thermal
gradients and solidification velocity. Currently, the
exposure strategy and laser energy have to be adapted in
order to meet a processing window suited for introducing
highly anisotropic microstructures. As selective
laser melting allows for production of filigree complex
structures, the impact of geometry on the microstructure
evolution is investigated in the current study and it is
shown that miniaturization of structures as well leads to
the evolution of anisotropic microstructure",SLM or DMLS,0.54,0.53,0.535,Polymer,0.53,0.43,0.48
54,Main defects observed in aluminum alloy parts produced by SLM from causes to consequences,"In recent years, the SLM process has been studied for the production of aluminum alloy parts, as these 
alloys demonstrate significant potential for the future, notably due to their low density which allows a 
considerable reduction in mass. The aim of this bibliographical study is to identify and classify the 
parameters and phenomena which influence the appearance of defects in aluminum alloy parts 
produced using the SLM process and hence the final properties of these parts. To do this, a cause tree 
diagram was created. For each defect or consequence identified (porosities, defects linked with hot 
cracking phenomena, anisotropy in the material and surface quality), we revealed the potential sources 
of the appearance of this defect, going back to the initial causes",SLM or DMLS,0.58,0.58,0.58,Metal,0.59,0.57,0.58
55,Manufacturing and Characterization of Ti6Al4V Lattice Components Manufactured by Selective Laser Melting,"The paper investigates the fabrication of Selective Laser Melting (SLM) titanium alloy Ti6Al4V micro-lattice structures for the production of lightweight components. Specifically, the pillar textile unit cell is used as base lattice structure and alternative lattice topologies including reinforcing vertical bars are also considered. Detailed characterizations of dimensional accuracy, surface roughness, and micro-hardness are performed. In addition, compression tests are carried out in order to evaluate the mechanical strength and the energy absorbed per unit mass of the lattice truss specimens made by SLM. The built structures have a relative density ranging between 0.2234 and 0.5822. An optimization procedure is implemented via the method of Taguchi to identify the optimal geometric configuration which maximizes peak strength and energy absorbed per unit mass.",SLM or DMLS,0.57,0.65,0.61,Metal,0.46,0.48,0.47
56,Mechanical and dimensional characteristics of fused deposition modeling build styles,"As rapid prototyping becomes more prominent, industry relies more on the mechanical properties ofthe builds. Fused Deposition Modeling (FDM) tensile samples were constructed and tested in order to characterize the mechanical properties of Acrylonitrile Butadiene Styrene (ABS) FDM builds. Parameters such as fill gap, line width, and slice thickness were varied in the production ofthe FDM samples. This was performed independently to isolate the effect of each parameter on mechanical properties. Results include the ultimate tensile strength, yield strength, elongation, energy to fracture, modulus of elasticity, and dimensional analysis. High magnification fracture surface analysis was also be performed to aid in the characterization of sample failures.
",FDM or FFF or EAM,0.42,0.53,0.475,Polymer,0.35,0.47,0.41
57,Mechanical and in vitro performance of apatite–wollastonite glass ceramic reinforced hydroxyapatite composite fabricated by 3D-printing,"In situ hydroxyapatite/apatite wollastonite glass ceramic composite was fabricated by a three dimensional printing(3DP)technique and characterized.It was found that the as-fabricated mean green strength of the composite was 1.27 MPa which was sufﬁcient for general handling. After varying sintering temperatures (1050–1300C) and times (1–10 h), it was found that sintering at 1300C for 3 h gave the greatest ﬂexural modulus and strength, 34.10 GPa and 76.82 MPa respectively.This was associated with a decrease in porosity and increase in densiﬁcation ability of the composite resulting from liquid phase sintering. Bioactivity tested by soaking in simulated body ﬂuid (SBF) and In Vitro toxicity studies showed that 3DP hydroxyapatite/A–W glass ceramic composite was non-toxic and bioactive. A new calcium phosphate layer was observed on the surface of the composite after soaking in SBF for only 1 day while osteoblast cells were able to attach and attain normal morphology on the surface of the composite",SLM or DMLS,0.59,0.52,0.5549999999999999,Ceramic,0.57,0.34,0.45499999999999996
58,Mechanical characterization of parts fabricated using fused deposition modeling,"Layered manufacturing is anevolution of rapid prototyping (RP) techniques where the part is built in layers. While most of the previous applications focused on building “prototypes”, recent developments in this ﬁeld enabled some of the prototyping methods to achieve an agile fabrication technology to produce the ﬁnal product directly. A shift from prototyping to manufacturing of the ﬁnal product necessitates broadening of the material choice, improvement of the surface quality, dimensional stability, and achieving the necessary mechanical properties to meet the performance criteria. The current study is part of an ongoing project to adapt fused deposition modeling to fabrication of ceramic and multi-functional components. This paper presents a methodology of the mechanical characterization of products fabricated using fused deposition modeling",FDM or FFF or EAM,0.62,0.75,0.685,Ceramic,0.44,0.48,0.45999999999999996
59,Mechanical Properties of Ultem FDM Parts,In this work the influence of the orientation and the toolpath generation of manufactured parts based on the mechanical data are analyzed. Tensile Specimen are generated with the given parameters as well as with changing parameters of the native software based upon the CAD data. The parts then are built up with the “Fortus 400mc” from Stratasys. First tensile tests show different strength and strain characteristics that depend on the given structure and as a result of the build direction. The influence of the parameters was analyzed with a statistic test method by using the software Design Expert. ,FDM or FFF or EAM,0.54,0.56,0.55,Ceramic,0.32,0.42,0.37
60,Mechanical response of TiAl6V4 lattice structures manufactured by selective laser melting in quasistatic and dynamic compression test,"This paper focusses on the investigation of the mechanical properties of lattice structures manufactured by selective laser melting using contour-hatch scan strategy. The motivation for this research is the systematic investigation of the elastic and plastic deformation of TiAl6V4 at different strain rates. To investigate the inﬂuence of the strain rate on the mechanical response (e.g., energy absorption) of TiAl6V4 structures, compression tests on TiAl6V4-lattice structures with different strain rates are carried out to determine the mechanical response from the resulting stress-strain curves. Results are compared to the mechanical response of stainless steel lattice structures (316L). It is shown that heat-treated TiAl6V4 specimens have a larger breaking strain and a lower drop of stress after failure initiation. Main ﬁnding is that TiAl6V4 lattice structures show brittle behavior and low energy absorption capabilities compared to the ductile behaving 316L lattice structures. For larger strain rates, ultimate tensile strength of TiAl6V4 structures is more than 20% higher compared to lower strain rates due to cold work hardening",FDM or FFF or EAM,0.5,0.64,0.5700000000000001,Metal,0.4,0.49,0.445
61,Meso-scale defect evaluation of selective laser melting using spatially resolved acoustic spectroscopy,"Developments in additive manufacturing technology are serving to expand the potential applications. Critical developments are required in the supporting areas of measurement and in process inspection to achieve this. CM247LC is a nickel superalloy that is of interest for use in aerospace and civil power plants. However, it is difﬁcult to process via selective laser melting(SLM) as it suffers from cracking during rapid cooling and solidiﬁcation. This limits the viability of CM247LC parts created using SLM. To quantify part integrity,spatially resolved a coustic spectroscopy (SRAS) has been identiﬁed as a viable non-destructive evaluation technique. In this study, a combination of optical microscopy and SRAS was used to identify and classify the surface defects present in SLM-produced parts. By analysing the datasets and scan trajectories, it is possible to correlate morphological information with process parameters. Image processing was used to quantify porosity and cracking for bulk density measurement. Analysis of surface acoustic wave data showed that an error in manufacture in the form of an overscan occurred. Comparing areas affected by overscan with a bulk material, a change in defect density from 1.17% in the bulk material to 5.32% in the overscan regions was observed, highlighting the need to reduce overscan areas in manufacture.
",FDM or FFF or EAM,0.57,0.57,0.57,Metal,0.4,0.43,0.41500000000000004
